eid	roadmap_name	encode_biosample	match_quality	assay	accession	url	ext	file_size	bio_rep	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	source
E095	Left_Ventricle	heart left ventricle	exact	HiC	4DNFII9NVNO3	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3d1254c1-c8b5-450b-8829-1f410da9411f/4DNFII9NVNO3.hic	hic	9227464821	0		4DN	in situ Hi-C	2023-04-24T12:06:37.456302+00:00	true	data/E095_Left_Ventricle/HiC/4DNFII9NVNO3.hic	4DN
E097	Ovary	ovary	exact	DNase	ENCFF593QEZ	https://www.encodeproject.org/files/ENCFF593QEZ/@@download/ENCFF593QEZ.bam	bam	3585369221	1	ENCSR712PYJ	ENCODE4	dnase-alignment-step-v-1-0	2020-11-10T23:59:57.814275+00:00	true	data/E097_Ovary/DNase/ENCFF593QEZ.bam	ENCODE
E097	Ovary	ovary	exact	H3K27ac	ENCFF287FAW	https://www.encodeproject.org/files/ENCFF287FAW/@@download/ENCFF287FAW.bam	bam	1585378067	1	ENCSR268JQE	ENCODE4	chip-seq-alignment-step-v-2-0	2023-02-01T16:18:09.527141+00:00	true	data/E097_Ovary/H3K27ac/ENCFF287FAW.bam	ENCODE
E097	Ovary	ovary	exact	HiC	ENCFF365EBD	https://www.encodeproject.org/files/ENCFF365EBD/@@download/ENCFF365EBD.hic	hic	7242205338	1	ENCSR782YIX	ENCODE4	hic-diploidification-step-v-1-1	2024-08-29T06:25:39.149636+00:00	true	data/E097_Ovary/HiC/ENCFF365EBD.hic	ENCODE
E098	Pancreas	pancreas	exact	DNase	ENCFF027VJJ	https://www.encodeproject.org/files/ENCFF027VJJ/@@download/ENCFF027VJJ.bam	bam	3034732695	1	ENCSR178JBL	ENCODE4	dnase-alignment-step-v-1-0	2020-11-11T00:29:43.437729+00:00	true	data/E098_Pancreas/DNase/ENCFF027VJJ.bam	ENCODE
E098	Pancreas	pancreas	exact	H3K27ac	ENCFF086DYL	https://www.encodeproject.org/files/ENCFF086DYL/@@download/ENCFF086DYL.bam	bam	2458184005	1	ENCSR029SIG	ENCODE4	chip-seq-alignment-step-v-2-0	2021-04-28T16:23:55.037247+00:00	false	data/E098_Pancreas/H3K27ac/ENCFF086DYL.bam	ENCODE
E098	Pancreas	pancreas	exact	H3K27ac	ENCFF181NJO	https://www.encodeproject.org/files/ENCFF181NJO/@@download/ENCFF181NJO.bam	bam	2918630875	2	ENCSR029SIG	ENCODE4	chip-seq-alignment-step-v-2-0	2021-04-28T16:23:58.759384+00:00	true	data/E098_Pancreas/H3K27ac/ENCFF181NJO.bam	ENCODE
E098	Pancreas	pancreas	exact	HiC	ENCFF171GTA	https://www.encodeproject.org/files/ENCFF171GTA/@@download/ENCFF171GTA.hic	hic	6071294645	1	ENCSR387RQD	ENCODE4	hic-diploidification-step-v-1-1	2024-08-07T07:05:21.800274+00:00	true	data/E098_Pancreas/HiC/ENCFF171GTA.hic	ENCODE
E100	Psoas_Muscle	psoas muscle	exact	DNase	ENCFF215SXQ	https://www.encodeproject.org/files/ENCFF215SXQ/@@download/ENCFF215SXQ.bam	bam	10199652448	1	ENCSR000ELO	ENCODE4	dnase-alignment-step-v-1-0	2020-11-22T08:17:39.011805+00:00	true	data/E100_Psoas_Muscle/DNase/ENCFF215SXQ.bam	ENCODE
E100	Psoas_Muscle	psoas muscle	exact	DNase	ENCFF901DPU	https://www.encodeproject.org/files/ENCFF901DPU/@@download/ENCFF901DPU.bam	bam	8396275415	2	ENCSR000ELO	ENCODE4	dnase-alignment-step-v-1-0	2020-11-22T08:17:40.412423+00:00	false	data/E100_Psoas_Muscle/DNase/ENCFF901DPU.bam	ENCODE
E100	Psoas_Muscle	psoas muscle	exact	H3K27ac	ENCFF843JON	https://www.encodeproject.org/files/ENCFF843JON/@@download/ENCFF843JON.bam	bam	1791128668	1	ENCSR403PZH	ENCODE4	chip-seq-alignment-step-v-2-0	2022-06-06T17:10:37.224346+00:00	true	data/E100_Psoas_Muscle/H3K27ac/ENCFF843JON.bam	ENCODE
E100	Psoas_Muscle	psoas muscle	exact	HiC	ENCFF651ZUG	https://www.encodeproject.org/files/ENCFF651ZUG/@@download/ENCFF651ZUG.hic	hic	7201467537	1	ENCSR538PNC	ENCODE4	hic-diploidification-step-v-1-1	2024-08-29T06:22:36.724922+00:00	true	data/E100_Psoas_Muscle/HiC/ENCFF651ZUG.hic	ENCODE
