cell_type	assay	accession	url	ext	file_size	bio_reps	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	output_type	assembly
E037_CD4_Memory	DNase	ENCFF105DXR	https://www.encodeproject.org/files/ENCFF105DXR/@@download/ENCFF105DXR.bam	bam	9131872855	1	ENCSR526TFD	ENCODE4	dnase-alignment-step-v-1-0	2022-02-15T00:17:35.477756+00:00	true	data/E037_CD4_Memory/DNase/ENCFF105DXR.bam	unfiltered alignments	GRCh38
E037_CD4_Memory	H3K27ac	ENCFF051JGL	https://www.encodeproject.org/files/ENCFF051JGL/@@download/ENCFF051JGL.bam	bam	2258303943	1	ENCSR561KOM	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-10T17:53:20.378818+00:00	true	data/E037_CD4_Memory/H3K27ac/ENCFF051JGL.bam	unfiltered alignments	GRCh38
E037_CD4_Memory	ATAC	ENCFF085TSR	https://www.encodeproject.org/files/ENCFF085TSR/@@download/ENCFF085TSR.bam	bam	6218696899	1	ENCSR841LHT	ENCODE4	atac-seq-alignment-step-v-2-1	2021-06-21T15:29:46.794202+00:00	true	data/E037_CD4_Memory/ATAC/ENCFF085TSR.bam	unfiltered alignments	GRCh38
E037_CD4_Memory	HiC	ENCFF543ROK	https://www.encodeproject.org/files/ENCFF543ROK/@@download/ENCFF543ROK.hic	hic	6751736074	1	ENCSR379TIE	ENCODE4	hic-diploidification-step-v-1-1	2024-11-23T23:11:19.332165+00:00	true	data/E037_CD4_Memory/HiC/ENCFF543ROK.hic	haplotype-specific contact matrix	GRCh38
E038_CD4_Naive	DNase	ENCFF441QOR	https://www.encodeproject.org/files/ENCFF441QOR/@@download/ENCFF441QOR.bam	bam	14393840537	1	ENCSR181OGW	ENCODE4	dnase-alignment-step-v-1-0	2022-02-15T00:28:03.369982+00:00	true	data/E038_CD4_Naive/DNase/ENCFF441QOR.bam	unfiltered alignments	GRCh38
E038_CD4_Naive	H3K27ac	NOT_FOUND			0						false			
E038_CD4_Naive	ATAC	ENCFF898QLY	https://www.encodeproject.org/files/ENCFF898QLY/@@download/ENCFF898QLY.bam	bam	9311845359	2	ENCSR452COS	ENCODE4	atac-seq-alignment-step-v-2-1	2021-10-07T23:58:42.755568+00:00	true	data/E038_CD4_Naive/ATAC/ENCFF898QLY.bam	unfiltered alignments	GRCh38
E038_CD4_Naive	HiC	ENCFF074JNR	https://www.encodeproject.org/files/ENCFF074JNR/@@download/ENCFF074JNR.hic	hic	6890400034	1	ENCSR458VJJ	ENCODE4	hic-diploidification-step-v-1-1	2024-11-23T23:13:04.501674+00:00	true	data/E038_CD4_Naive/HiC/ENCFF074JNR.hic	haplotype-specific contact matrix	GRCh38
E047_CD8_Naive	DNase	ENCFF141NLE	https://www.encodeproject.org/files/ENCFF141NLE/@@download/ENCFF141NLE.bam	bam	11196917199	1	ENCSR291HMM	ENCODE4	dnase-alignment-step-v-1-0	2022-07-25T18:50:17.339795+00:00	true	data/E047_CD8_Naive/DNase/ENCFF141NLE.bam	unfiltered alignments	GRCh38
E047_CD8_Naive	H3K27ac	NOT_FOUND			0						false			
E047_CD8_Naive	ATAC	ENCFF549NJT	https://www.encodeproject.org/files/ENCFF549NJT/@@download/ENCFF549NJT.bam	bam	6980665176	2	ENCSR614JAG	ENCODE4	atac-seq-alignment-step-v-2-1	2021-10-08T00:02:58.698565+00:00	true	data/E047_CD8_Naive/ATAC/ENCFF549NJT.bam	unfiltered alignments	GRCh38
E047_CD8_Naive	HiC	NOT_FOUND			0						false			
E050_CD34_Mobilized	DNase	NO_MAPPING			0						false			
E050_CD34_Mobilized	H3K27ac	NO_MAPPING			0						false			
E050_CD34_Mobilized	ATAC	NO_MAPPING			0						false			
E050_CD34_Mobilized	HiC	NO_MAPPING			0						false			
E053_Neurosphere_Cortex	DNase	NO_MAPPING			0						false			
E053_Neurosphere_Cortex	H3K27ac	NO_MAPPING			0						false			
E053_Neurosphere_Cortex	ATAC	NO_MAPPING			0						false			
E053_Neurosphere_Cortex	HiC	NO_MAPPING			0						false			
E054_Neurosphere_GE	DNase	ENCFF470PUW	https://www.encodeproject.org/files/ENCFF470PUW/@@download/ENCFF470PUW.bam	bam	7725803586	2	ENCSR826URD	ENCODE4	dnase-alignment-step-v-1-0	2021-10-18T18:13:15.827986+00:00	true	data/E054_Neurosphere_GE/DNase/ENCFF470PUW.bam	unfiltered alignments	GRCh38
E054_Neurosphere_GE	H3K27ac	NOT_FOUND			0						false			
E054_Neurosphere_GE	ATAC	NOT_FOUND			0						false			
E054_Neurosphere_GE	HiC	NOT_FOUND			0						false			
E055_Foreskin_Fibro_1	DNase	ENCFF443DQB	https://www.encodeproject.org/files/ENCFF443DQB/@@download/ENCFF443DQB.bam	bam	2850621541	2	ENCSR000EPP	ENCODE4	dnase-alignment-step-v-1-0	2021-02-08T18:39:41.841591+00:00	true	data/E055_Foreskin_Fibro_1/DNase/ENCFF443DQB.bam	unfiltered alignments	GRCh38
E055_Foreskin_Fibro_1	H3K27ac	NOT_FOUND			0						false			
E055_Foreskin_Fibro_1	ATAC	NOT_FOUND			0						false			
E055_Foreskin_Fibro_1	HiC	NOT_FOUND			0						false			
